District,Location,Area,Bedrooms,Price
Kozhikode,West Hill,4379,4,19219295
Kannur,Town Center,3607,4,12189296
Trivandrum,Kazhakkoottam,2664,6,12928974
Kollam,Residential Area,1062,5,4978013
Pathanamthitta,Rural Area,2873,1,8559954
Kannur,Town Center,3690,6,12151769
Wayanad,Rural Area,3836,2,13031580
Alappuzha,Suburbs,4012,2,12156277
Trivandrum,Vellayambalam,2063,5,10798282
Ernakulam,Kochi,3191,5,18986210
Wayanad,Suburbs,570,3,2654232
Kozhikode,Nadakkavu,3547,6,14803707
Alappuzha,Near Highway,545,2,1904355
Kasargod,Town Center,4734,4,14731116
Pathanamthitta,Near Highway,2660,1,7521349
Palakkad,Suburbs,887,6,3845377
Palakkad,Town Center,3244,3,10130048
Idukki,Suburbs,3064,2,8372551
Palakkad,Near Highway,3606,2,10002454
Kozhikode,West Hill,2887,3,11715525
Kollam,Suburbs,1659,1,5688202
Kasargod,Near Highway,4842,5,18003231
Idukki,Suburbs,1284,1,4078134
Thrissur,Olarikkara,827,6,4668864
Palakkad,Town Center,4433,3,12254308
Kozhikode,Nadakkavu,939,5,5531444
Kollam,Suburbs,4765,5,15278901
Kottayam,Nagampadam,796,5,4005872
Ernakulam,Aluva,796,4,5273156
Alappuzha,Suburbs,1826,3,5236840
Palakkad,Town Center,1899,4,6260536
Kollam,Residential Area,4652,3,15946837
Kollam,Suburbs,1994,3,6382441
Ernakulam,Kakkanad,895,3,5269014
Wayanad,Residential Area,1076,6,5741075
Kannur,Town Center,629,4,2973291
Malappuram,Town Center,4413,5,13248525
Kannur,Town Center,4458,3,13549853
Trivandrum,Pattom,1138,2,5801965
Wayanad,Near Highway,4083,2,12581304
Ernakulam,Kakkanad,2788,6,15148459
Kozhikode,Beach Road,3039,1,12603333
Thrissur,Olarikkara,1272,2,4984534
Kottayam,Ettumanoor,2385,1,9139970
Trivandrum,Vellayambalam,884,6,6421293
Wayanad,Residential Area,919,6,4811250
Kasargod,Suburbs,600,3,2533093
Malappuram,Rural Area,2199,6,7852242
Trivandrum,Kazhakkoottam,712,6,4671363
Kozhikode,Mananchira,1840,6,8847842
Malappuram,Suburbs,1726,4,6192465
Alappuzha,Town Center,1749,3,5657601
Kollam,Rural Area,4614,1,13844253
Idukki,Town Center,4204,6,14986189
Alappuzha,Rural Area,2156,2,7377035
Palakkad,Residential Area,1788,3,6138304
Kollam,Suburbs,2051,5,7986161
Kozhikode,Nadakkavu,4566,2,18148440
Kollam,Near Highway,574,6,3492351
Kollam,Town Center,2634,6,9944312
Ernakulam,Kochi,2896,4,15478956
Idukki,Town Center,2437,2,7544606
Alappuzha,Rural Area,4015,3,13892670
Kollam,Rural Area,2097,4,6970872
Malappuram,Town Center,2921,2,10491117
Trivandrum,Pattom,581,4,3707499
Wayanad,Residential Area,900,4,3514517
Palakkad,Town Center,4277,2,13850715
Thrissur,Olarikkara,4930,4,17679240
Kasargod,Residential Area,2714,6,8364143
Malappuram,Near Highway,4104,2,10894121
Pathanamthitta,Suburbs,4915,4,17440036
Pathanamthitta,Rural Area,607,4,2448849
Ernakulam,Palarivattom,2834,4,14795365
Alappuzha,Near Highway,2865,6,10329749
Kottayam,Pala,2524,4,10843629
Thrissur,Ayyanthole,3135,4,12846668
Thrissur,Viyyur,4686,5,18315739
Idukki,Residential Area,4059,2,12628658
Kannur,Town Center,1105,3,4154097
Idukki,Suburbs,2640,2,9046942
Kottayam,Kanjikuzhy,1103,6,6036522
Ernakulam,Kakkanad,3925,3,18494068
Kasargod,Suburbs,2585,4,9952739
Idukki,Town Center,2697,3,9524777
Pathanamthitta,Residential Area,3238,5,12946322
Kannur,Rural Area,4801,1,14734350
Idukki,Residential Area,2503,6,9840230
Alappuzha,Town Center,3790,5,13358610
Trivandrum,Vellayambalam,2517,2,11692395
Trivandrum,Vellayambalam,4094,2,17608789
Ernakulam,Palarivattom,4874,6,26043759
Wayanad,Near Highway,4313,1,11560790
Ernakulam,Aluva,3395,5,17930720
Ernakulam,Palarivattom,1045,1,4717257
Palakkad,Near Highway,4486,3,15899472
Alappuzha,Residential Area,3876,4,13121101
Kasargod,Residential Area,1219,2,3409273
Trivandrum,Kazhakkoottam,1429,2,7318133
Malappuram,Suburbs,606,6,3909409
Kollam,Town Center,1976,2,6573732
Kozhikode,West Hill,674,1,2692631
Alappuzha,Near Highway,4648,2,13918650
Thrissur,Ayyanthole,4422,4,18020140
Ernakulam,Aluva,2856,2,13623454
Palakkad,Suburbs,1291,5,5463681
Kottayam,Kanjikuzhy,2945,5,11655353
Kannur,Residential Area,1723,5,6421168
Idukki,Near Highway,1095,2,3407929
Kozhikode,Mavoor Road,4182,2,15322923
Ernakulam,Aluva,634,3,3303420
Idukki,Rural Area,2052,1,6794918
Idukki,Near Highway,3954,5,14253249
Wayanad,Rural Area,4071,1,12313793
Kasargod,Near Highway,3756,2,10026029
Ernakulam,Palarivattom,2287,3,12752772
Pathanamthitta,Rural Area,2663,4,9889160
Pathanamthitta,Residential Area,3864,4,12754769
Idukki,Near Highway,3953,1,10128820
Kollam,Rural Area,1400,2,4085986
Kannur,Near Highway,4007,3,12389449
Kollam,Suburbs,1874,3,7158642
Idukki,Suburbs,2829,4,10180804
Kozhikode,West Hill,921,4,4613455
Wayanad,Rural Area,4033,4,14872654
Kottayam,Kanjikuzhy,4952,4,19625273
Idukki,Rural Area,4379,2,13746566
Ernakulam,Kochi,2005,2,11017375
Pathanamthitta,Near Highway,1464,4,5124257
Palakkad,Residential Area,4688,3,12422912
Idukki,Residential Area,874,3,3617763
Ernakulam,Kochi,2745,2,12870046
Trivandrum,Pattom,1103,5,6307780
Kasargod,Suburbs,2952,5,9197636
Kottayam,Ettumanoor,3351,3,11207920
Wayanad,Town Center,3606,1,9467571
Thrissur,Olarikkara,1576,2,6721472
Malappuram,Rural Area,1185,5,6031141
Trivandrum,Kazhakkoottam,3918,4,17234149
Ernakulam,Aluva,1442,2,8011832
Thrissur,Olarikkara,2844,5,13412868
Pathanamthitta,Residential Area,1862,4,5919553
Pathanamthitta,Suburbs,4014,5,12723405
Kollam,Residential Area,1498,5,5842009
Kollam,Residential Area,2771,6,9401503
Palakkad,Town Center,4922,2,13744359
Trivandrum,Technopark,2477,4,10898391
Pathanamthitta,Rural Area,4361,4,13403131
Kollam,Near Highway,4653,3,12429377
Pathanamthitta,Suburbs,2050,2,5649281
Kottayam,Ettumanoor,1300,4,5599627
Thrissur,Ayyanthole,4816,5,21156516
Ernakulam,Aluva,2754,4,16613695
Kollam,Town Center,913,1,2630137
Idukki,Rural Area,1303,4,5137517
Palakkad,Town Center,2260,2,6701536
Malappuram,Suburbs,2540,5,8858056
Kozhikode,Mavoor Road,3278,2,13630966
Thrissur,Swaraj Round,1664,2,6824379
Kozhikode,West Hill,4072,5,16457063
Thrissur,Ayyanthole,4746,2,20233300
Malappuram,Rural Area,3896,5,13544271
Trivandrum,Vellayambalam,2655,5,13933088
Idukki,Suburbs,4008,4,12774060
Kollam,Rural Area,1616,1,5028102
Trivandrum,Pattom,3260,1,13472240
Idukki,Suburbs,3872,5,13028442
Thrissur,Viyyur,2616,2,10624992
Palakkad,Near Highway,533,3,2094915
Kasargod,Town Center,4957,2,15062052
Kasargod,Residential Area,1062,4,3821098
Wayanad,Town Center,764,5,3156525
Kozhikode,Nadakkavu,3016,5,14438485
Kollam,Suburbs,3914,2,12830769
Kollam,Rural Area,1194,1,3960948
Thrissur,Viyyur,662,6,5126122
Malappuram,Residential Area,4883,1,13254272
Kozhikode,Mavoor Road,1829,3,7436471
Kasargod,Rural Area,2107,1,5606401
Kollam,Suburbs,4621,3,14988414
Alappuzha,Suburbs,3243,2,9813687
Malappuram,Near Highway,3972,4,13229882
Wayanad,Residential Area,1000,1,3395580
Alappuzha,Near Highway,3860,5,15144763
Kottayam,Baker Junction,3899,5,12853547
Ernakulam,Kakkanad,4702,6,22264325
Kasargod,Near Highway,2336,4,8986121
Trivandrum,Pattom,2226,2,11069001
Idukki,Near Highway,4511,3,13537135
Ernakulam,Palarivattom,919,6,6032084
Kottayam,Nagampadam,1422,5,6219296
Ernakulam,Kochi,3200,2,17790491
Kasargod,Suburbs,1632,1,4815308
Kasargod,Residential Area,886,5,4836708
Kollam,Rural Area,2355,1,7016425
Kottayam,Nagampadam,4874,4,16738741
Malappuram,Residential Area,3741,1,11391930
Kannur,Suburbs,3212,2,10700751
Pathanamthitta,Rural Area,2962,2,9163492
Alappuzha,Near Highway,3762,6,11808841
Kollam,Rural Area,847,5,4148709
Trivandrum,Kazhakkoottam,4429,1,17913399
Alappuzha,Near Highway,3724,2,12239733
Malappuram,Residential Area,1877,6,7136088
Kozhikode,Nadakkavu,943,4,5009163
Kozhikode,Beach Road,4926,2,20969217
Alappuzha,Near Highway,2518,6,9965977
Thrissur,Poonkunnam,1040,6,5464517
Alappuzha,Residential Area,3216,2,10881521
Palakkad,Residential Area,4995,4,13185933
Thrissur,Poonkunnam,4903,6,17771233
Kozhikode,Mananchira,2385,2,10851760
Malappuram,Residential Area,3683,5,12837618
Kottayam,Ettumanoor,3870,4,16197369
Pathanamthitta,Town Center,1635,1,5729533
Malappuram,Suburbs,4601,1,12999709
Trivandrum,Pattom,659,5,4269415
Kasargod,Residential Area,914,6,4644306
Wayanad,Residential Area,2698,6,9096384
Kottayam,Baker Junction,570,4,2662974
Kasargod,Suburbs,2207,5,9312154
Pathanamthitta,Town Center,2330,5,7264720
Kasargod,Town Center,4907,4,17350798
Palakkad,Suburbs,1157,3,3564809
Ernakulam,Kochi,2999,3,17052043
Trivandrum,Kowdiar,4558,2,20964000
Thrissur,Viyyur,1717,3,7084374
Kottayam,Kanjikuzhy,1352,4,6544258
Trivandrum,Kowdiar,1325,2,6913586
Kannur,Residential Area,3975,6,11774564
Kollam,Town Center,2831,4,9193316
Idukki,Residential Area,4271,3,14376072
Kasargod,Rural Area,2021,3,7795854
Kasargod,Residential Area,4218,6,14696890
Kozhikode,West Hill,2394,4,9510518
Trivandrum,Technopark,4096,5,18025588
Kollam,Near Highway,3246,5,10470748
Ernakulam,Kakkanad,1785,6,10556362
Malappuram,Suburbs,3372,6,10233102
Ernakulam,Palarivattom,2119,4,11866861
Palakkad,Suburbs,2850,3,8636402
Thrissur,Olarikkara,3038,1,12048321
Kottayam,Nagampadam,1723,1,6342215
Alappuzha,Residential Area,1301,4,5011536
Malappuram,Town Center,734,3,2682895
Kannur,Near Highway,596,5,3334681
Kottayam,Ettumanoor,3896,5,16406979
Ernakulam,Kakkanad,1363,2,7016328
Malappuram,Residential Area,3579,1,9234347
Trivandrum,Kazhakkoottam,2280,1,10332669
Ernakulam,Edappally,1466,5,9047774
Alappuzha,Near Highway,1289,2,4058420
Trivandrum,Vellayambalam,3977,6,21964476
Palakkad,Near Highway,1115,6,5486409
Alappuzha,Town Center,1276,1,3225458
Idukki,Town Center,4366,1,13269861
Kottayam,Nagampadam,4669,5,16491346
Palakkad,Near Highway,891,4,3919932
Idukki,Near Highway,3414,3,11205999
Kottayam,Kanjikuzhy,944,4,3715053
Alappuzha,Suburbs,1383,3,5160388
Kottayam,Nagampadam,3047,5,13506852
Thrissur,Ayyanthole,2810,3,10419226
Thrissur,Olarikkara,3497,2,13445206
Kottayam,Baker Junction,3264,4,12829488
Kollam,Rural Area,3201,4,10573290
Idukki,Rural Area,1195,5,5196976
Palakkad,Residential Area,2963,3,10883161
Kollam,Town Center,4471,3,14010672
Thrissur,Swaraj Round,1032,1,3643982
Kozhikode,Nadakkavu,2722,5,12021534
Idukki,Near Highway,3377,3,11974259
Idukki,Rural Area,613,1,2008644
Kasargod,Suburbs,1064,5,3888300
Ernakulam,Kochi,2501,3,12419887
Kozhikode,Beach Road,4044,1,15248386
Palakkad,Town Center,1920,5,7219994
Kannur,Suburbs,4490,3,13024994
Kollam,Near Highway,3337,6,10950539
Malappuram,Rural Area,4591,6,14758020
Ernakulam,Kochi,943,4,5893719
Thrissur,Viyyur,3865,1,13321466
Thrissur,Olarikkara,2521,3,9277913
Kasargod,Suburbs,4175,2,14924146
Palakkad,Near Highway,1026,6,5516077
Ernakulam,Edappally,3982,3,18942185
Kollam,Near Highway,2999,4,10308767
Wayanad,Residential Area,3191,3,8881011
Ernakulam,Aluva,4655,3,26291325
